brand,model,aggregateRating/ratingValue,aggregateRating/reviewCount,offers/price,offers/priceCurrency,depth,width,features/0/description,features/1/description
HP,15-fh0023dx,4.7,1155.0,,USD,8.99,14.07,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Get expansive, vibrant images and control your entertainment right from the screen."
Acer,PHN16-71-73LT,4.6,343.0,1179.99,USD,11.02,14.18,"Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 16” with a 16:10 aspect ratio, the pristine WQXGA (2560 x 1600) IPS panel has a fast 165Hz refresh rate, NVIDIA G-SYNC technology, 3ms Overdrive response time, 500nit Brightness and is 100% sRGB."
Lenovo,82H803SBUS,4.7,3275.0,,USD,9.98,14.26,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
HP,15-fh0013dx,4.7,1923.0,,USD,8.99,14.07,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Get expansive, vibrant images and control your entertainment right from the screen."
HP,17-cw0023dx,4.8,840.0,,USD,10.18,15.59,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Always see your content at its best with 178-degree wide-viewing angles, FHD and a vibrant picture. And with touchscreen technology, you can control your PC right from the screen."
HP,14-es0013dx,4.7,1640.0,,USD,8.3,12.68,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Your entertainment just got pushed to the very edge. Get expansive, Full High Definition, vibrant images with awesome colors, and intuitively control your PC right from the screen."
HP,15-DY5033DX,4.7,1519.0,,USD,9.53,14.11,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups."
HP,15-fc0093dx,4.6,1362.0,,USD,9.29,14.17,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",2 million pixels for crystal-clear visuals and vibrant image quality.
Dell,i3420-S476SLV-PUS,4.3,106.0,,USD,8.65,12.74,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Natural finger-touch navigation makes the most of Windows 11. The 1920 x 1080 resolution boasts impressive color and clarity. IPS technology for wide viewing angles. Energy-efficient LED backlight.
Microsoft,5UI-00027/5UI-00001,4.6,265.0,,USD,9.6,13.4,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next."
HP,14-dq0054dx,4.1,4230.0,,USD,8.86,12.76,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups."
Microsoft,QIL-00001,4.8,517.0,1199.99,USD,8.2,11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.
LG,17Z90R-A.AAB7U1,4.2,6.0,,USD,0.7,14.91,"Windows 11 brings you closer to what you love. Pursue your passions and maximize your productivity with the new Windows 11. Built with tools to help you multitask, think, create, and connect—all designed with simplicity and intuition in mind.",Expand the realm of what’s possible using a 17” screen with a 16:10 aspect ratio that can make your visions come to life with a non-reflective design to maintain your focus and a bold DCI-P3 99% color gamut to add a realistic touch to graphics.²
Dell,XPS9530-7718SLV-PUS,4.5,123.0,,USD,9.06,13.57,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC",1920 x 1200 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.
Lenovo,82YN0002US,4.8,1507.0,,USD,9.85,14.26,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Lenovo,82VB0002US,,,,USD,14.05,9.74,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Natural finger-touch navigation makes the most of Windows 11. The 2560 x 1600 resolution boasts impressive color and clarity. IPS technology for wide viewing angles. Energy-efficient LED backlight.
Lenovo,82YN004PUS,4.7,608.0,,USD,9.85,14.26,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
HP,15-fe0013dx,4.7,771.0,,USD,8.99,14.07,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Always see your content at its best with 178-degree wide-viewing angles, FHD and a vibrant picture. And with touchscreen technology, you can control your PC right from the screen."
LG,17Z90R-K.ADS9U1,4.5,14.0,,USD,0.7,14.91,"Windows 11 brings you closer to what you love. Pursue your passions and maximize your productivity with the new Windows 11. Built with tools to help you multitask, think, create, and connect—all designed with simplicity and intuition in mind.",A 17” screen with a 16:10 aspect ratio that can make your visions come to life with a non-reflective design to maintain your focus and a bold DCI-P3²  99% color gamut to add a realistic touch to graphics.
Microsoft,QIL-00052,4.8,517.0,1199.99,USD,8.2,11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.
Microsoft,QIL-00018,4.8,517.0,,USD,8.2,11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.
HP,14-dq0055dx,4.1,4231.0,,USD,8.86,12.76,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups."
Lenovo,82Y30004US,4.6,124.0,,USD,10.21,14.08,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
HP,16-h1023dx,4.6,518.0,,USD,9.94,14.07,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.",Wide Quad Extended Graphics Array is a display resolution of 2560 × 1600 pixels with a 16:10 aspect ratio.
Lenovo,83B1001XUS,4.6,229.0,,USD,9.06,12.52,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Dell,XPS9315-7725SKY-PUS,4.4,208.0,,USD,7.85,11.63,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC",1920 x 1200 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.
ASUS,X1400EA-I38128,4.5,845.0,,USD,12.81,8.5,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",The 1366 x 768 resolution boasts impressive color and clarity. Energy-efficient LED backlight.
Dell,i7630-5640SLV-PUS,4.7,172.0,,USD,9.91,14.05,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience"
HP,14-dq0051dx,4.1,4231.0,,USD,8.86,12.76,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups."
ASUS,Q530VJ-I73050,4.7,552.0,,USD,14.03,9.26,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",Enjoy detailed moving visuals with ultra-vivid colors on a (1920 x 1080) 60Hz OLED display with the PANTONE Validated for color fidelity.
Microsoft,YZY-00001,4.6,70.0,,USD,12.72,9.06,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Windows 11 is optimized for touch on Surface Laptop Studio 2. Tap, drag, swipe, and pinch like you do on your smartphone."
LG,17Z90Q-K.AAB8U1,4.6,97.0,,USD,0.7,14.91,Expand the realm of what’s possible using a 17” screen that can make your visions come to life with a non-reflective design to maintain your focus and a bold DCI-P3 99% color gamut* to add a realistic touch to graphics.,"Designers, streamers and everyday users will rejoice at the premium power of our Intel Evo Platform Powered by 12th Gen Intel Core i7 Processor and the beautiful Iris Xe graphics that come to life on screen."
HP,15-DY5073DX,4.6,1110.0,,USD,9.53,14.11,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups."
Microsoft,Z2D-00001,4.4,9.0,3299.99,USD,12.72,9.06,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Windows 11 is optimized for touch on Surface Laptop Studio 2. Tap, drag, swipe, and pinch like you do on your smartphone."
Dell,i7435-A111BLU-PUS,4.6,716.0,,USD,8.92,12.36,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience"
Microsoft,XK1-00001,4.7,222.0,,USD,10.95,8.12,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Handle whatever the day throws at you, wherever you are, with faster performance, all-day battery life¹, and Windows 11."
HP,17-cp2033dx,4.7,796.0,,USD,10.15,15.78,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","Enjoy your photos, movies, and games with the crisp quality of 1.4 million pixels."
MSI,PRE14EVO13269,,,1499.99,USD,9.0,12.0,"Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",IPS technology offers wide viewing angles. 1920 x 1200 resolution delivers amazing color and clarity
ASUS,Q540VJ-I93050,4.5,678.0,,USD,14.03,9.26,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",Enjoy detailed moving visuals with ultra-vivid colors on a 2.8K(2880 x 1620) 120Hz OLED display with the PANTONE Validated for color fidelity.
HP,11-ak0053dx,4.2,380.0,,USD,7.6,11.1,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Enjoy your entertainment with the great quality and high-definition detail of 1 million pixels
Lenovo,82V60065US,3.5,1264.0,,USD,12.81,8.52,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","SuperBright technology with matte finish maintains the vivid colors in your movies, photos and videos while also reducing glare. Typical 1366 x 768 HD resolution. Energy-efficient LED backlight."
Lenovo,82LM00UEUS,5.0,2.0,339.99,USD,8.33,12.66,8GB Soldered DDR4-3200,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
Lenovo,T470,4.6,5.0,349.99,USD,13.25,9.15,"Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with powerful management tools.",The 1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity.
Microsoft,RKL-00001,4.8,35.0,,USD,9.6,13.4,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next."
LG,15Z90RT-K.AAB8U1,4.1,9.0,,USD,0.49,14.0,"Windows 11 brings you closer to what you love. Pursue your passions and maximize your productivity with the new Windows 11. Built with tools to help you multitask, think, create, and connect—all designed with simplicity and intuition in mind.","A 15"" OLED anti-glare screen with a 100% DCI-P3¹ color gamut and VESA DisplayHDR 500 True Black, delivers exceptional image resolution with true-to-life detail and stunning, deep black levels."
Lenovo,21FJS05W00,,,1199.99,USD,8.58,12.01,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","The 1920 x 1200 resolution boasts impressive color and clarity. Touch, tap, glide and make the most of Windows 11. IPS technology for wide viewing angles. Energy-efficient LED backlight."
ASUS,Q420VA-EVO.I7512,4.7,753.0,,USD,12.67,8.88,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.","The 14.5"" OLED 2880 x 1800 120Hz display boasts impressive color and clarity with a smooth 0.2ms response time. VESA Display HDR 500 True Black certification and TUV-certified 70% blue-light reduction."
Lenovo,83AX0000US,4.7,414.0,,USD,8.92,12.81,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
ASUS,F1605VA-DS74,5.0,1.0,,USD,9.82,14.12,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","WUXGA (1920 x 1200) 16:10 aspect ratio IPS-level panel with 60Hz refresh rate, 45% NTSC color gamut, TÜV Rheinland-certified"
Microsoft,QEZ-00001,4.7,655.0,799.99,USD,8.2,11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.
Acer,A315-24PT-R90Z,4.5,737.0,349.99,USD,,,"Windows 11 operating system was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","See more on the stunning 15.6"" Full HD IPS touch display thanks to the narrow-bezel design. And with Acer BlueLightShield, lower the levels of blue light exposure to you and your loved ones."
HP,14-eu0023dx,5.0,2.0,,USD,8.68,12.35,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","With a dedicated engine that helps unlock AI experiences on the PC and high-performance low power processing, enjoy superior performance with less drain on battery, so you can do more for longer while unplugged."
Lenovo,82H803SDUS,4.7,1040.0,,USD,9.31,14.14,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Samsung,NP960XFH-XA1US,4.6,116.0,,USD,13.99,9.86,"If you can dream it, you can do it with a remarkable PC that’s brimming with power. Featuring lightning like performance for big ideas, our most powerful processor series yet helps you code, design and create without restraint.","Whether you’re rendering video for a film project or dabbling in some after hours gaming, the latest NVIDIA graphics card brings visuals to life like a dream."
LG,16Z90RS-K.AAW7U1,4.6,5.0,,USD,0.63,14.0,"Windows 11 brings you closer to what you love. Pursue your passions and maximize your productivity with the new Windows 11. Built with tools to help you multitask, think, create, and connect—all designed with simplicity and intuition in mind.","A 16"" OLED screen with a 100% DCI-P3 ² color gamut and perfect black, LG gram Style delivers exceptional image resolution with true-to-life detail."
Lenovo,82Y5000AUS,4.7,86.0,,USD,9.87,12.89,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Dell,i7430-5800SLV-PUS,4.6,178.0,,USD,8.92,12.36,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience"
Acer,AN515-58-57QW,4.6,346.0,,USD,,,"Windows 11 operating system was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","With the sharp visuals of a 15.6” Full HD IPS display with a lightning-quick 144Hz refresh rate, your game sessions will be fluid, unbroken, and unmatched. Now you can land those reflexive shots with pinpoint accuracy and minimal ghosting."
ASUS,GU603VV-G16.I74060,4.5,369.0,,USD,9.57,13.98,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",The 165Hz display features a 1920x1080 resolution that gives you more space for toolbars and tabs. Don't worry about ghosting with the 3ms response time. The PANTONE validated 100% DCI-P3 display boasts incredible color accuracy and clarity.
ASUS,GA402NU-G14.R74050,4.6,60.0,,USD,8.95,12.31,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",The 165Hz ultra bright 500 nits display features a 2560 x 1440 (QHD) resolution that gives you more space for toolbars and tabs.
HP,14-dq0052dx,4.1,4231.0,,USD,8.86,12.76,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups."
Lenovo,82H80358US,4.7,3275.0,,USD,9.98,14.26,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Natural finger-touch navigation makes the most of Windows 11. The 1920 x 1080 resolution boasts impressive color and clarity. IPS technology for wide viewing angles. Energy-efficient LED backlight.
Lenovo,21JN003YUS,4.8,4.0,749.99,USD,9.75,0.78,"Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Indulge in breathtaking visuals on a 16"" WUXGA IPS display, boasting a crisp 1920x1200 resolution and 300nits brightness. Experience exceptional clarity and vibrant colors for an immersive and eye-catching viewing experience on your laptop."
MSI,STEALTH1613056,4.5,188.0,,USD,,,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",The 1920 x 1200 (FHD+) resolution with 144hz refresh and 3ms response time boasts impressive color and clarity. Energy-efficient LED backlight.
Microsoft,QEZ-00018,4.7,655.0,,USD,8.2,11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.
HP,7Z183UT#ABA,,,1739.99,USD,8.0,12.0,"Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",Anti-glare Screen reduces eyestrain and widens the field of view. 1920 x 1200 resolution delivers amazing color and clarity
Lenovo,82XT001NUS,4.6,196.0,,USD,10.43,14.16,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
MSI,CYBORG1512043,4.4,138.0,749.99,USD,,,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",The 1920 x 1080 resolution with 144hz refresh and 3ms response time boasts impressive color and clarity. Energy-efficient LED backlight.
Samsung,NP950QED-KB1US,4.6,851.0,,USD,13.97,8.98,Galaxy Book2 Pro 360 is powered by our most powerful processor available.,Translation: Super-quick response times. Jaw-dropping graphics. Extraordinary multitasking capabilities. Lightning-fast download speed. All powered by the latest 12th Gen Evo-certified Intel® CPU that makes every task a truly rewarding experience.
Lenovo,21KK0004US,,,629.99,USD,9.98,14.01,"Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Indulge in breathtaking visuals on a 16"" WUXGA IPS display, boasting a crisp 1920x1200 resolution and 300nits brightness. Experience exceptional clarity and vibrant colors for an immersive and eye-catching viewing experience on your laptop."
ASUS,L210MA-DS04,3.6,10.0,,USD,7.52,10.98,"Windows 11 Home in S mode comes with advanced security features built right in, like protections against phishing and malicious software so you don't have to think twice when navigating to a new webpage or downloading an app","The 1366 x 768 resolution with 73% screen-to-body ratio, 16:0 aspect ratio boasts impressive color and clarity. Energy-efficient LED backlight"
LG,17Z90R-K.AAB8U1,4.7,10.0,,USD,0.66,13.98,"Windows 11 brings you closer to what you love. Pursue your passions and maximize your productivity with the new Windows 11. Built with tools to help you multitask, think, create, and connect—all designed with simplicity and intuition in mind.",Expand the realm of what’s possible using a 17” screen with a 16:10 aspect ratio that can make your visions come to life with a non-reflective design to maintain your focus and a bold DCI-P3¹ 99% color gamut to add a realistic touch to graphics.
ASUS,UP3404VADS74T,4.3,15.0,1199.99,USD,8.8,12.26,"Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","The 2880x1800 2.8K OLED touchscreen display showcases your games and movies with impressive color and clarity.  Touch, tap, and glide along the PANTONE Validated glossy touchscreen display."
HP,840G3.8.256.Pro,3.8,24.0,226.99,USD,9.3,13.3,This unit comes with 8 GB of System Memory.,
Lenovo,83BS0000US,4.7,1111.0,,USD,9.85,14.26,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Lenovo,21KG000FUS,,,919.99,USD,17.8,11.2,"Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Indulge in breathtaking visuals on a 14"" WUXGA IPS display, boasting a crisp 1920x1200 resolution and 300nits brightness. Experience exceptional clarity and vibrant colors for an immersive and eye-catching viewing experience on your laptop."
Dell,i3535-A766BLK-PUS,4.5,139.0,,USD,9.25,14.11,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",Natural finger-touch navigation makes the most of Windows 11. The 1920 x 1080 resolution boasts impressive color and clarity. IPS technology for wide viewing angles. Energy-efficient LED backlight.
Razer,RZ09-05102EJ9-R3U1,5.0,1.0,,USD,13.98,9.61,"Enjoy ultra-sharp 4K quality for creative work and ultra-fast refresh rates for silky-smooth gameplay, backed by 100% DCI-P3 color accuracy that’s Calman Verified for the most lifelike visuals.","Packed for pure performance with 1.50 gPD (Graphics Power Density), the Razer Blade 16 delivers up to 30% more graphic power per cubic inch than any other 16” gaming laptop on the market."
